name,nickname,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,age,total_fights,win_rate,loss_rate,draw_rate,win_loss_ratio
Victor Hugo,Striker,24,4,0,170.18,61.23,180.34,Orthodox,1992-11-22,1.24,34.0,1.1,65.0,2.06,50.0,66.0,4.1,32,28,0.8571428571428571,0.14285714285714285,0.0,4.8
Kain Royer,The Beast,2,2,0,178.23432467873064,83.91,181.80887362637364,Orthodox,1987-01-21,0.0,0.0,1.63,14.0,0.0,0.0,0.0,4.1,38,4,0.5,0.5,0.0,0.6666666666666666
Rousimar Palhares,Toquinho,19,8,0,172.72,77.11,180.34,Orthodox,1980-02-26,1.75,51.0,2.04,59.0,3.93,45.0,0.0,4.1,45,27,0.7037037037037037,0.2962962962962963,0.0,2.111111111111111
Clay Mitchell,The Beast,1,2,0,187.96,83.91,181.80887362637364,Orthodox,1987-01-21,1.63,85.0,0.0,0.0,0.0,0.0,100.0,4.1,38,3,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333
Karine Silva,Killer,17,4,0,165.1,56.7,170.18,Orthodox,1993-12-02,3.37,35.0,3.37,50.0,2.45,60.0,0.0,4.1,31,21,0.8095238095238095,0.19047619047619047,0.0,3.4
Dustin Hazelett,McLovin,12,7,0,185.42,77.11,193.04,Orthodox,1986-04-29,2.24,40.0,3.51,46.0,0.55,50.0,25.0,4.1,39,19,0.631578947368421,0.3684210526315789,0.0,1.5
HanSeul Kim,Spade,13,5,0,185.42,77.11,187.96,Southpaw,1990-06-19,6.93,45.0,8.09,50.0,0.0,0.0,0.0,4.0,35,18,0.7222222222222222,0.2777777777777778,0.0,2.1666666666666665
Shinya Aoki,Tobikan Judan,39,7,0,180.34,69.85,181.80887362637364,Southpaw,1983-05-09,0.97,58.0,1.25,58.0,2.54,41.0,60.0,4.0,42,46,0.8478260869565217,0.15217391304347827,0.0,4.875
Marcus Hicks,The Wrecking Ball,10,4,0,167.64,70.31,162.56,Southpaw,1975-11-25,1.42,43.0,3.06,61.0,2.7,53.0,25.0,4.0,49,14,0.7142857142857143,0.2857142857142857,0.0,2.0
Dan Evensen,The Viking,11,4,0,190.5,113.4,181.80887362637364,Orthodox,1974-06-01,0.27,10.0,3.86,38.0,0.0,0.0,0.0,4.0,51,15,0.7333333333333333,0.26666666666666666,0.0,2.2
Ralph Gracie,The Beast,6,1,0,175.26,83.01,181.80887362637364,Orthodox,1987-01-21,0.86,37.0,1.72,31.0,0.0,0.0,25.0,4.0,38,7,0.8571428571428571,0.14285714285714285,0.0,3.0
Charlie Kohler,The Beast,8,4,1,175.26,70.31,181.80887362637364,Orthodox,1976-07-16,0.81,33.0,4.31,46.0,0.0,0.0,0.0,4.0,49,13,0.6153846153846154,0.3076923076923077,0.07692307692307693,1.6
Alberto Crane,The Beast,15,5,0,165.1,70.31,181.80887362637364,Orthodox,1976-07-14,0.43,25.0,2.61,57.0,0.0,0.0,50.0,4.0,49,20,0.75,0.25,0.0,2.5
Mike Hayes,The Beast,20,12,2,193.04,104.33,181.80887362637364,Orthodox,1987-01-21,4.87,55.0,1.47,77.0,0.0,0.0,75.0,4.0,38,34,0.5882352941176471,0.35294117647058826,0.058823529411764705,1.5384615384615385
Bruno Carvalho,The Beast,10,5,0,172.72,69.85,181.80887362637364,Orthodox,1987-01-21,0.6,45.0,0.93,53.0,0.0,0.0,66.0,4.0,38,15,0.6666666666666666,0.3333333333333333,0.0,1.6666666666666667
Steve Byrnes,The Sergeant,6,1,0,182.88,77.11,181.80887362637364,Orthodox,1987-01-21,1.2,51.0,2.67,27.0,3.0,60.0,0.0,4.0,38,7,0.8571428571428571,0.14285714285714285,0.0,3.0
Aliaskhab Khizriev,Black Wolf,14,0,0,175.26,83.91,187.96,Southpaw,1990-08-24,6.03,64.0,4.36,62.0,5.77,60.0,100.0,3.9,35,14,1.0,0.0,0.0,14.0
Torrez Finney,The Punisher,7,0,0,172.72,83.91,190.5,Orthodox,1998-10-24,0.91,58.0,2.33,47.0,13.61,63.0,0.0,3.9,26,7,1.0,0.0,0.0,7.0
Bill Mahood,The Butcher,20,7,1,190.5,90.72,181.80887362637364,Orthodox,1967-02-01,1.54,85.0,3.59,17.0,0.0,0.0,0.0,3.9,58,28,0.7142857142857143,0.25,0.03571428571428571,2.5
Marius Enache,The Beast,3,3,0,180.34,70.31,181.80887362637364,Orthodox,1987-01-21,1.71,34.0,0.66,84.0,3.94,100.0,0.0,3.9,38,6,0.5,0.5,0.0,0.75
Abongo Humphrey,The Beast,7,3,0,180.34,92.99,181.80887362637364,Orthodox,1987-01-21,1.45,40.0,3.83,46.0,1.41,37.0,33.0,3.8,38,10,0.7,0.3,0.0,1.75
Antonio Trocoli,Malvado,12,3,0,195.58,92.99,208.28,Orthodox,1990-12-06,1.27,71.0,4.56,25.0,3.8,100.0,100.0,3.8,34,15,0.8,0.2,0.0,3.0
Hector Urbina,El Toro,17,10,1,180.34,77.11,185.42,Orthodox,1987-09-17,0.97,38.0,2.44,39.0,0.0,0.0,38.0,3.8,37,28,0.6071428571428571,0.35714285714285715,0.03571428571428571,1.5454545454545454
Gabriel Bonfim,Marretinha,15,1,0,185.42,77.11,182.88,Orthodox,1997-08-20,4.87,40.0,5.25,59.0,4.75,71.0,100.0,3.8,28,16,0.9375,0.0625,0.0,7.5
